Tablo 4: 59 özellik için TRUSTLab-CICIDS2017 Kolmogorov-Smirnov istatistiği ve şiddet sınıflandırması.

#,Özellik,KS (D),Şiddet¹,Durum
1,Pkt Len Min,"0,95334",Şiddetli,Korundu (51)
2,Active Max,"0,79550",Şiddetli,Ayıklandı (Active/Idle)
3,Active Mean,"0,79550",Şiddetli,Ayıklandı (Active/Idle)
4,Idle Mean,"0,79244",Şiddetli,Ayıklandı (Active/Idle)
5,Idle Max,"0,79244",Şiddetli,Ayıklandı (Active/Idle)
6,Fwd Pkt Len Min,"0,77790",Şiddetli,Korundu (51)
7,SYN Flag Cnt,"0,63100",Şiddetli,Korundu (51)
8,Fwd Pkt Len Mean,"0,61496",Şiddetli,Korundu (51)
9,Fwd Seg Size Avg,"0,61496",Şiddetli,Korundu (51)
10,Bwd Pkt Len Min,"0,60166",Şiddetli,Korundu (51)
11,Dst Port,"0,56968",Yüksek,Korundu (51)
12,Fwd Pkt Len Max,"0,52842",Yüksek,Korundu (51)
13,Flow IAT Min,"0,48998",Yüksek,Korundu (51)
14,Pkt Len Mean,"0,48976",Yüksek,Korundu (51)
15,Pkt Size Avg,"0,41682",Yüksek,Korundu (51)
16,Pkt Len Max,"0,41558",Yüksek,Korundu (51)
17,Bwd Seg Size Avg,"0,36074",Yüksek,Korundu (51)
18,Bwd Pkt Len Mean,"0,36074",Yüksek,Korundu (51)
19,FIN Flag Cnt,"0,35448",Yüksek,Korundu (51)
20,Bwd Pkt Len Max,"0,34618",Yüksek,Korundu (51)
21,Fwd IAT Min,"0,34590",Yüksek,Korundu (51)
22,Bwd IAT Min,"0,33148",Yüksek,Korundu (51)
23,Down/Up Ratio,"0,31276",Yüksek,Korundu (51)
24,TotLen Bwd Pkts,"0,29994",Orta,Korundu (51)
25,Subflow Bwd Byts,"0,29994",Orta,Korundu (51)
26,Flow Byts/s,"0,28188",Orta,Korundu (51)
27,Tot Fwd Pkts,"0,27836",Orta,Korundu (51)
28,Subflow Fwd Pkts,"0,27836",Orta,Korundu (51)
29,Fwd IAT Max,"0,27438",Orta,Korundu (51)
30,Fwd IAT Tot,"0,27438",Orta,Korundu (51)
31,Fwd IAT Mean,"0,27436",Orta,Korundu (51)
32,Subflow Fwd Byts,"0,27380",Orta,Korundu (51)
33,TotLen Fwd Pkts,"0,27380",Orta,Korundu (51)
34,Flow IAT Mean,"0,25866",Orta,Korundu (51)
35,Flow Duration,"0,25768",Orta,Korundu (51)
36,Flow IAT Max,"0,25688",Orta,Korundu (51)
37,Flow Pkts/s,"0,25674",Orta,Korundu (51)
38,Bwd IAT Tot,"0,24846",Orta,Korundu (51)
39,Bwd IAT Max,"0,24772",Orta,Korundu (51)
40,Bwd IAT Mean,"0,22718",Orta,Korundu (51)
41,Flow IAT Std,"0,22210",Orta,Korundu (51)
42,Bwd Header Len,"0,22010",Orta,Korundu (51)
43,Idle Min,"0,20000",Orta,Ayıklandı (Active/Idle)
44,Active Min,"0,19694",Orta,Ayıklandı (Active/Idle)
45,Bwd IAT Std,"0,19280",Orta,Korundu (51)
46,Pkt Len Var,"0,19154",Orta,Korundu (51)
47,Pkt Len Std,"0,19154",Orta,Korundu (51)
48,Fwd IAT Std,"0,18654",Orta,Korundu (51)
49,Bwd Pkt Len Std,"0,17908",Orta,Korundu (51)
50,Fwd Header Len,"0,17732",Orta,Korundu (51)
51,Tot Bwd Pkts,"0,12262",Orta,Korundu (51)
52,Subflow Bwd Pkts,"0,12262",Orta,Korundu (51)
53,Fwd Pkt Len Std,"0,10628",Orta,Korundu (51)
54,URG Flag Cnt,"0,09460",Düşük,Korundu (51)
55,Idle Std,"0,08212",Düşük,Ayıklandı (Active/Idle)
56,Active Std,"0,07380",Düşük,Ayıklandı (Active/Idle)
57,Fwd URG Flags,"0,00014",Düşük,Korundu (51)
58,ECE Flag Cnt,"0,00010",Düşük,Korundu (51)
59,Bwd URG Flags,"0,00006",Düşük,Korundu (51)
