Tablo 9: Tek-saldırı düzeyinde cross-dataset sonuçları (25 satır: 5 aile × 5 model; PortScan yalnızca CICIDS2017'de test edilmiştir).

Aile,Model,İç F1,İç AUC,CICIDS2017 F1,CICIDS2017 AUC,CSE-CIC-IDS2018 F1,CSE-CIC-IDS2018 AUC
DDoS,RandomForest,"1,000","1,000","0,501","0,776","0,642","0,754"
DDoS,XGBoost,"1,000","1,000","0,506","0,543","0,759","0,757"
DDoS,LightGBM,"1,000","1,000","0,506","0,660","0,759","0,804"
DDoS,1D-CNN,"1,000","1,000","0,000","0,255","0,000","0,459"
DDoS,LSTM,"0,999","1,000","0,000","0,767","0,000","0,655"
DoS,RandomForest,"1,000","1,000","0,454","0,424","0,812","0,831"
DoS,XGBoost,"1,000","1,000","0,443","0,400","0,787","0,828"
DoS,LightGBM,"1,000","1,000","0,433","0,450","0,863","0,822"
DoS,1D-CNN,"1,000","1,000","0,000","0,385","0,000","0,735"
DoS,LSTM,"0,999","1,000","0,482","0,468","0,829","0,781"
Bruteforce,RandomForest,"0,968","0,999","0,051","0,508","0,319","0,651"
Bruteforce,XGBoost,"0,970","1,000","0,000","0,484","0,000","0,327"
Bruteforce,LightGBM,"0,969","0,999","0,000","0,240","0,000","0,358"
Bruteforce,1D-CNN,"0,916","0,997","0,000","0,161","0,000","0,254"
Bruteforce,LSTM,"0,833","0,973","0,000","0,458","0,000","0,516"
WebBased,RandomForest,"1,000","1,000","0,000","0,488","0,000","0,476"
WebBased,XGBoost,"1,000","1,000","0,000","0,523","0,001","0,390"
WebBased,LightGBM,"1,000","1,000","0,000","0,531","0,004","0,749"
WebBased,1D-CNN,"0,969","0,999","0,000","0,127","0,000","0,451"
WebBased,LSTM,"0,934","0,994","0,029","0,564","0,063","0,515"
PortScan,RandomForest,"0,996","1,000","0,615","0,775",—,—
PortScan,XGBoost,"0,995","1,000","0,000","0,321",—,—
PortScan,LightGBM,"0,996","1,000","0,001","0,687",—,—
PortScan,1D-CNN,"0,978","1,000","0,909","0,832",—,—
PortScan,LSTM,"0,954","0,970","0,896","0,890",—,—
