FeatureSet,N_Features,Seed,Model,InDomain_F1,InDomain_AUC,CICIDS2017_F1,CICIDS2017_AUC,CSECIC2018_F1,CSECIC2018_AUC
Top5,5,42,RandomForest,0.9739674833104418,0.9981872445505812,0.37149177641202596,0.5871737470656979,0.27147682397075446,0.4965074260583794
Top5,5,42,XGBoost,0.9722208368659917,0.9980002533617631,0.35626429003143106,0.6364921467293805,0.2831099320224261,0.42747885338142766
Top5,5,42,LightGBM,0.9682544739514903,0.9970063781046578,0.38452759477673043,0.6481850246893698,0.331986484613926,0.5316329524741027
Top5,5,42,1D-CNN,0.920158389394797,0.982855062014045,0.3256204035261901,0.5456902706744422,0.30399741827717247,0.6077485085797116
Top5,5,42,LSTM,0.913148365093894,0.9828522973313615,0.2618420182268606,0.5050118222154873,0.009458388522911197,0.2117144679696601
Top5,5,123,RandomForest,0.9738799055847852,0.9981855276018684,0.36872059525893464,0.5816116693714206,0.2708776463581264,0.5106264912237314
Top5,5,123,XGBoost,0.972268680666903,0.9980107593891898,0.30127073719769487,0.6323137622980342,0.027438063114186954,0.38041422614866716
Top5,5,123,LightGBM,0.9680536064129871,0.9969744354264896,0.3671573488154489,0.6718795139654081,0.25715337394052484,0.5081896026780671
Top5,5,123,1D-CNN,0.9291742642639583,0.9868900529262765,0.0011430906873231882,0.2602223080594458,0.0021822560279317407,0.34942728421325053
Top5,5,123,LSTM,0.9203523509478937,0.9840246881125427,0.3984296010676829,0.5449409638680516,0.2610590659867158,0.3250068216219192
Top5,5,2024,RandomForest,0.9736560335068473,0.9981824949522038,0.3633633309322295,0.58200156340217,0.2709252329805286,0.5344941385757315
Top5,5,2024,XGBoost,0.9719415754369178,0.9979928945535367,0.3824229683042798,0.638877859596495,0.26862512681968204,0.40628314816437944
Top5,5,2024,LightGBM,0.9678798837370807,0.9969904448794389,0.33297477551283206,0.6719823320698373,0.25968409153696836,0.48303173451398196
Top5,5,2024,1D-CNN,0.9275683331826537,0.9852858418127399,0.3036833617845311,0.4672829970357705,0.30614719636442284,0.5344622838518295
Top5,5,2024,LSTM,0.9225648376213441,0.9839736497393722,0.2342949381967887,0.537354617461774,0.007987768627279764,0.3770600304900793
Top10,10,42,RandomForest,0.9802441811018378,0.9989871760756058,0.35618179096827457,0.5020030879285913,0.2868391679061926,0.50534267641258
Top10,10,42,XGBoost,0.9792118499377047,0.9988971113939913,0.329747191027356,0.549984544930667,0.30664616731735694,0.5415909085686068
Top10,10,42,LightGBM,0.9776050720932611,0.9985485276200655,0.32777972030780383,0.5570587797689263,0.3164977576630852,0.5929469249965498
Top10,10,42,1D-CNN,0.9544715152331467,0.9951445323117516,0.3767212482336969,0.6586544360504432,0.30934950629150154,0.5855625321108003
Top10,10,42,LSTM,0.9277508877240447,0.9882054548432054,0.49000084772788743,0.6241128462587218,0.0029334349991093148,0.4464614984396216
Top10,10,123,RandomForest,0.9803461305363396,0.9990051651625852,0.3550985511384883,0.5168808905580975,0.28257639318217337,0.5211592887812878
Top10,10,123,XGBoost,0.979277755045235,0.9989075859581169,0.36381156114417906,0.5860800807166542,0.31914469642717,0.5096326352552175
Top10,10,123,LightGBM,0.9776166266986411,0.9985762367488711,0.3232561847513695,0.5855408800816332,0.258680396220903,0.5673635592745245
Top10,10,123,1D-CNN,0.8865675213238378,0.9855545029510475,0.3588765790966321,0.6381220158587471,0.27738101058436154,0.5468264860743483
Top10,10,123,LSTM,0.9280334055634467,0.9871903224414,0.4386529439668659,0.7094438781409556,0.005547705625183224,0.4795475122095501
Top10,10,2024,RandomForest,0.9802829458754567,0.9990065615165811,0.3580187254087385,0.5236759590550054,0.28384364237573795,0.48340756103302
Top10,10,2024,XGBoost,0.9791413748411983,0.9989023398254265,0.33088515456201306,0.6033671074184017,0.2983612772750119,0.5082738654042961
Top10,10,2024,LightGBM,0.9774682171969766,0.9985445752733267,0.3608222912825019,0.6255531868059155,0.32224638894900004,0.5981205747819751
Top10,10,2024,1D-CNN,0.954081185454058,0.9947973873969987,0.40102643230913726,0.6955193322199699,0.29522738886646155,0.5575806128410818
Top10,10,2024,LSTM,0.9190223610042457,0.984902910873823,0.3320548279808424,0.6899130849497055,0.259683584617144,0.5821931858623534
