Family,Model,Target,N_Positive,F1_Point,CI_Lower_95,CI_Upper_95,CI_Width
DDoS,RandomForest,CICIDS2017,128027,0.500578,0.497892,0.503214,0.005323
DDoS,RandomForest,CSE-CIC-IDS2018,1263933,0.642066,0.641298,0.642835,0.001537
DDoS,XGBoost,CICIDS2017,128027,0.506339,0.503646,0.508967,0.005321
DDoS,XGBoost,CSE-CIC-IDS2018,1263933,0.758513,0.757886,0.759158,0.001272
DDoS,LightGBM,CICIDS2017,128027,0.506347,0.503638,0.508976,0.005338
DDoS,LightGBM,CSE-CIC-IDS2018,1263933,0.758896,0.758271,0.759546,0.001276
DDoS,1D-CNN,CICIDS2017,128027,0.418912,0.416253,0.421436,0.005183
DDoS,1D-CNN,CSE-CIC-IDS2018,1263933,0.682518,0.681873,0.683207,0.001334
DDoS,LSTM,CICIDS2017,128027,0.448442,0.445791,0.451100,0.005309
DDoS,LSTM,CSE-CIC-IDS2018,1263933,0.707895,0.707246,0.708588,0.001343
DoS,RandomForest,CICIDS2017,252661,0.454108,0.452092,0.455906,0.003814
DoS,RandomForest,CSE-CIC-IDS2018,654300,0.812406,0.811706,0.813088,0.001382
DoS,XGBoost,CICIDS2017,252661,0.442625,0.440657,0.444485,0.003828
DoS,XGBoost,CSE-CIC-IDS2018,654300,0.786973,0.786242,0.787675,0.001433
DoS,LightGBM,CICIDS2017,252661,0.432934,0.430709,0.434914,0.004206
DoS,LightGBM,CSE-CIC-IDS2018,654300,0.863330,0.862674,0.863941,0.001267
DoS,1D-CNN,CICIDS2017,252661,0.000176,0.000115,0.000253,0.000138
DoS,1D-CNN,CSE-CIC-IDS2018,654300,0.000000,0.000000,0.000000,0.000000
DoS,LSTM,CICIDS2017,252661,0.455627,0.453590,0.457493,0.003904
DoS,LSTM,CSE-CIC-IDS2018,654300,0.838017,0.837332,0.838644,0.001312
PortScan,RandomForest,CICIDS2017,158930,0.614582,0.612337,0.616905,0.004568
PortScan,XGBoost,CICIDS2017,158930,0.000000,0.000000,0.000000,0.000000
PortScan,LightGBM,CICIDS2017,158930,0.000700,0.000536,0.000875,0.000338
PortScan,1D-CNN,CICIDS2017,158930,0.907555,0.906543,0.908484,0.001941
PortScan,LSTM,CICIDS2017,158930,0.903582,0.902594,0.904600,0.002006
