Feature,KS,KL,JS,Wasserstein,KS_Severity,KL_Severity,JS_Severity,Wasserstein_Severity
Pkt Len Min,0.953992269492132,4.441881155097799,0.6376356229865321,0.4116204327480981,Şiddetli,Yüksek,Şiddetli,Yüksek
Fwd Pkt Len Min,0.7782808902431391,2.8869725667664974,0.419879647777476,0.21840185814554916,Şiddetli,Yüksek,Şiddetli,Orta
SYN Flag Cnt,0.6327990295879198,15.568848987679575,0.2701184941310916,0.11161960135326565,Şiddetli,Şiddetli,Yüksek,Orta
Fwd Pkt Len Mean,0.61631998039567,0.7126555369490285,0.16023373623818968,0.04946197667115431,Şiddetli,Orta,Orta,Düşük
Fwd Seg Size Avg,0.61631998039567,0.7126555369490285,0.16023373623818968,0.04946197667115432,Şiddetli,Orta,Orta,Düşük
Bwd Pkt Len Min,0.6030693812806319,2.0561326005697795,0.37798694335092375,0.17458322424107942,Şiddetli,Yüksek,Yüksek,Orta
Dst Port,0.5692872277822562,1.0083340974787045,0.19843047963886504,0.3791457967360254,Yüksek,Yüksek,Orta,Yüksek
Fwd Pkt Len Max,0.5298200756003566,0.2918455429070928,0.05182667011130529,0.05214242376946104,Yüksek,Orta,Orta,Düşük
Flow IAT Min,0.49414244756122744,1.0065974731543226,0.012035292312071212,0.017759498899068745,Yüksek,Yüksek,Düşük,Düşük
Pkt Len Mean,0.4917054601725302,0.8967024879724449,0.2567030438594587,0.07375647122640268,Yüksek,Orta,Yüksek,Düşük
Pkt Size Avg,0.41700422448988433,0.6619206010935649,0.19466012968670574,0.06854938455812533,Yüksek,Orta,Orta,Düşük
Pkt Len Max,0.41554698500417264,0.3356274721652271,0.07868842504432702,0.03472451358266631,Yüksek,Orta,Orta,Düşük
Bwd Seg Size Avg,0.36242984085084645,0.6224700965041002,0.160709895301819,0.10351998290601529,Yüksek,Orta,Orta,Orta
Bwd Pkt Len Mean,0.36242984085084645,0.6224700965041002,0.160709895301819,0.10351998290601118,Yüksek,Orta,Orta,Orta
FIN Flag Cnt,0.35640754631814,12.242763818945631,0.1434781818324111,0.08708391456043008,Yüksek,Şiddetli,Orta,Düşük
Bwd Pkt Len Max,0.34690458829347903,0.27239999462397385,0.07449339351849008,0.06664576114008994,Yüksek,Orta,Orta,Düşük
Fwd IAT Min,0.34640968975902764,1.444883818545089,0.01682770634912477,0.02082333547226,Yüksek,Yüksek,Düşük,Düşük
Bwd IAT Min,0.3327373288662864,2.030902660336963,0.023378068952953194,0.02360727127310256,Yüksek,Yüksek,Düşük,Düşük
Down/Up Ratio,0.31065039973564124,19.616225348800935,0.29571632793659725,0.029986051677133703,Yüksek,Şiddetli,Yüksek,Düşük
Subflow Bwd Byts,0.30116041441404173,0.1966271112919398,0.0508768552104126,0.032661330385360766,Yüksek,Orta,Orta,Düşük
TotLen Bwd Pkts,0.30116041441404173,0.1966271112919398,0.0508768552104126,0.032661330385360766,Yüksek,Orta,Orta,Düşük
Flow Byts/s,0.28209605908301777,1.2585468521762775,0.08084377096096199,0.1226971980282867,Orta,Yüksek,Orta,Orta
Tot Fwd Pkts,0.27917735764922935,0.4238664373149049,0.11261979570181264,0.03062046775514088,Orta,Orta,Orta,Düşük
Subflow Fwd Pkts,0.27917735764922935,0.4238664373149049,0.11261979570181264,0.03062046775514088,Orta,Orta,Orta,Düşük
Fwd IAT Max,0.27551508460452817,7.358912986441662,0.08703891795684536,0.06559298909428202,Orta,Şiddetli,Orta,Düşük
Fwd IAT Tot,0.27551508460452817,7.114826259581759,0.08391977699568089,0.06675218299115733,Orta,Şiddetli,Orta,Düşük
Fwd IAT Mean,0.2755010898665496,3.5973483502024113,0.061043810463290354,0.03095742765807866,Orta,Yüksek,Orta,Düşük
TotLen Fwd Pkts,0.2750940704800836,0.1859190068473228,0.03338234198074024,0.03675772900639429,Orta,Orta,Düşük,Düşük
Subflow Fwd Byts,0.2750940704800836,0.1859190068473228,0.03338234198074024,0.03675772900639429,Orta,Orta,Düşük,Düşük
Flow Duration,0.25890776179267705,8.01249867672742,0.09518963224885245,0.07323373328519545,Orta,Şiddetli,Orta,Düşük
Flow IAT Mean,0.25869045470292595,2.7466062093829855,0.05631675069758366,0.029924473401050762,Orta,Yüksek,Orta,Düşük
Flow IAT Max,0.2581624864606463,8.266327842556205,0.0984581131899226,0.07136844766852922,Orta,Şiddetli,Orta,Düşük
Flow Pkts/s,0.2576526367594569,0.6669797271257295,0.07973088332735796,0.08056968912217248,Orta,Orta,Orta,Düşük
Bwd IAT Tot,0.2500111069349036,7.725567125737191,0.09155386969830587,0.0714345744963975,Orta,Şiddetli,Orta,Düşük
Bwd IAT Max,0.24933775004722825,7.98026047356889,0.09482175666533123,0.06989770896828296,Orta,Şiddetli,Orta,Düşük
Bwd IAT Mean,0.2283934083434067,4.42629143920259,0.061752100081423004,0.03257491663515434,Orta,Yüksek,Orta,Düşük
Flow IAT Std,0.22377555675165206,6.343017248741155,0.0809818643699661,0.0556589983603676,Orta,Şiddetli,Orta,Düşük
Bwd Header Len,0.2198821878487404,0.21431095927225677,0.04188206615000581,0.054915420137813226,Orta,Orta,Düşük,Düşük
Bwd IAT Std,0.19474192641376453,5.76270983489266,0.0708074305052797,0.06013780535490602,Orta,Şiddetli,Orta,Düşük
Pkt Len Std,0.18896296734373363,0.20342075954567798,0.05266987348364778,0.043782767583458074,Orta,Orta,Orta,Düşük
Pkt Len Var,0.18896296734373363,0.12619261192909945,0.03388310194904075,0.03233353492628884,Orta,Orta,Düşük,Düşük
Fwd IAT Std,0.1886832170678615,5.7259671517218225,0.0769833570634986,0.0594884941314687,Orta,Şiddetli,Orta,Düşük
Bwd Pkt Len Std,0.1779110256032529,0.23517101943294116,0.06620781030651775,0.06367209906603365,Orta,Orta,Orta,Düşük
Fwd Header Len,0.17751739047114806,0.3180405953419305,0.0760277325045811,0.048819035398715696,Orta,Orta,Orta,Düşük
Tot Bwd Pkts,0.12340835776342995,0.22708605511260974,0.05417317042184718,0.0367620003848625,Orta,Orta,Orta,Düşük
Subflow Bwd Pkts,0.12340835776342995,0.22708605511260974,0.05417317042184718,0.0367620003848625,Orta,Orta,Orta,Düşük
Fwd Pkt Len Std,0.11158452028125287,0.16262978921362667,0.028497999284386028,0.03941837631898852,Orta,Orta,Düşük,Düşük
